2E0FAVX, ALL
2E0HAX, ALL
2E0JUZ, ALL
2E0MZB, ALL
2E0XDZ, ALL
DJ6UX, ALL
G0IOE, ALL
G0KAD, ALL
G0KCH, ALL
G0RGM, ALL
G0UCF, ALL
G1ACH, ALL
G1YXT, ALL
G3GRO, ALL
G3KAU, ALL
G3LHZ, ALL
G3NZP, ALL
G3RMK, ALL
G3VJM, ALL
G3VKW, ALL
G3VLH, ALL
G3WKI, ALL
G3WSC, ALL
G3YSX, ALL
G3ZIY, ALL
G4ALH, ALL
G4ANN, 20m
G4FYY, ALL
G4LEG, ALL
G4PEO, ALL
G4PFW, ALL
G4TTY, ALL
G4TZF, ALL
G6CKZ, ALL
G6NGO, ALL
G6RX, ALL
G7OBF, ALL
G8DOH, ALL
GX3WSC, ALL
GX6RC, ALL
M0GZC, ALL
M0HBM, ALL
M0HQM, 20m
M0IDD, ALL
M0RXZ, ALL
M0STL, ALL
M0TZZ, ALL
M0WAO, ALL
M0WID, ALL
M0ZAF, ALL
M1YAP, ALL
M6CAO, ALL
M6EOQ, ALL
M6EWQ, ALL
M6EXW, ALL
M6FDJ, ALL
M6IDN, ALL
M6IHC, ALL
M6LPS, ALL
M6MKZ, ALL
M6NXZ, ALL
VA3PJ, ALL
VK5ZFJ, ALL
VK6PG, ALL
